trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
142,False,"{'a': 0.97, 'e': 0.013230804911577018}",20,16,9.945209640163162,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.97, 'e': 0.012833880764229706}",20,10,17.90023282094976,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.97, 'e': 0.012448864341302815}",30,18,18.3014248039265,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.97, 'e': 0.01207539841106373}",35,23,25.693033918026813,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.97, 'e': 0.011713136458731817}",20,2,17.6332934887423,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.97, 'e': 0.011361742364969863}",20,7,20.336511129159316,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.97, 'e': 0.011020890094020767}",20,0,24.65958729865669,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.97, 'e': 0.010690263391200144}",25,16,18.077697201925957,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.97, 'e': 0.010369555489464138}",20,14,9.07745249320708,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.97, 'e': 0.010058468824780216}",25,15,-25.99025661112361,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.97, 'e': 0.009756714760036807}",25,17,15.175296501843535,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.97, 'e': 0.009464013317235703}",30,10,8.24253757811842,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
154,False,"{'a': 0.97, 'e': 0.009180092917718633}",25,7,30.962386695307334,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.97, 'e': 0.008904690130187073}",20,12,16.517526190012696,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.97, 'e': 0.008637549426281461}",25,15,8.222890315818912,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.97, 'e': 0.008378422943493016}",30,17,24.317262539794616,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.97, 'e': 0.008127070255188227}",20,8,23.151230321547512,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.97, 'e': 0.007883258147532579}",25,15,14.683349631143779,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.97, 'e': 0.007646760403106601}",20,7,23.15284185207049,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.97, 'e': 0.007417357591013403}",20,0,28.047665734501347,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.97, 'e': 0.007194836863283}",25,15,6.882798366412808,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.97, 'e': 0.0069789917573845105}",25,19,12.300866435675346,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.97, 'e': 0.006769622004662975}",20,0,28.249953512773345,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.97, 'e': 0.006566533344523086}",20,6,21.892505895223238,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.97, 'e': 0.006369537344187393}",25,11,20.84003979264545,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.97, 'e': 0.006178451223861771}",20,14,14.630902869427988,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.97, 'e': 0.005993097687145918}",25,13,21.42086296852488,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.97, 'e': 0.00581330475653154}",20,13,14.458943135057147,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.97, 'e': 0.005638905613835593}",30,2,42.838605349160346,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.97, 'e': 0.005469738445420525}",20,0,13.067439186354425,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
172,False,"{'a': 0.97, 'e': 0.00530564629205791}",20,12,12.84341939573826,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.97, 'e': 0.005146476903296172}",35,0,8.23785073428057,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
174,False,"{'a': 0.97, 'e': 0.004992082596197287}",20,14,13.09287606405806,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.97, 'e': 0.004842320118311368}",30,20,-4.80143387186483,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
176,False,"{'a': 0.97, 'e': 0.004697050514762027}",25,14,-14.900323717393722,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
177,False,"{'a': 0.97, 'e': 0.004556138999319166}",20,2,-9.658241062200485,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
178,False,"{'a': 0.97, 'e': 0.004419454829339591}",35,19,32.6748230139525,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.97, 'e': 0.004286871184459403}",20,2,36.15038860814139,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.97, 'e': 0.004158265048925621}",20,11,16.85016312997909,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.97, 'e': 0.004033517097457852}",20,16,8.887878959200876,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.97, 'e': 0.003912511584534117}",25,20,10.690954743074505,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.97, 'e': 0.0037951362369980928}",20,9,13.304819299683633,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.97, 'e': 0.00368128214988815}",20,0,31.633625255433607,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
